,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,International Releases:,Running Time:,Comparisons:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,Domestic Releases:,Video Release:,MPAA Rating:,Keywords:,Production/Financing Companies:,Franchise:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Mister-Felicita-(Italy),[],[],,,,,,,"January 1st, 2017 (Wide) (Italy)
November 24th, 2017 (Wide) (Russia (CIS))
",90 minutes,Create your own comparison chart…,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Italy,Italian,,,,,,,n/a,"$10,739,001","$10,739,001",,,
1,https://www.the-numbers.com/movie/Space-Between-Us-The,"['Gary Oldman', 'Carla Gugino', 'B.D. Wong', 'Asa Butterfield', 'Britt Robertson']","[['Peter Chelsom', 'Director'], ['Allan Loeb', 'Screenwriter'], ['Stewart Schill', 'Story by'], ['Richard B. Lewis', 'Story by'], ['Allan Loeb', 'Story by'], ['Richard B. Lewis', 'Producer'], ['Jeffrey Soros', 'Executive Producer'], ['Simon Horsman', 'Executive Producer'], ['Allan Loeb', 'Executive Producer'], ['Steven Pearl', 'Executive Producer'], ['Kevin Halloran', 'Executive Producer'], ['Robbie Brenner', 'Executive Producer'], ['Ryan Kavanaugh', 'Executive Producer'], ['Tucker Tooley', 'Executive Producer'], ['Douglas Urbanski', 'Executive Producer'], ['Wang Zhongjun', 'Executive Producer'], ['Wang Zhonglei', 'Executive Producer'], ['Jerry Ye', 'Executive Producer'], ['Donald Tang', 'Executive Producer'], ['Robert Simonds', 'Executive Producer'], ['Adam Fogelson', 'Executive Producer'], ['Oren Aviv', 'Executive Producer'], ['Cathy Schulman', 'Executive Producer'], ['Jeffrey Soros', 'Director of Photography'], ['Kirk M. Petruccelli', 'Production Designer'], ['David Moritz', 'Editor'], ['Christopher Lawrence', 'Editor'], ['Andrew Lockington', 'Composer'], ['John Albanis', 'Co-Producer'], ['Gabrielle Jerou-Tabak', 'Co-Producer'], ['Cathy Sandrich Gelfond*', 'Casting Director'], ['Amanda Mackey', 'Casting Director']]","$3,775,596 (47.9% of total gross)",2.09 (domestic box office/biggest weekend),47.8% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 0.5 times production budget)","2,812 opening theaters/2,812 max. theaters, 2.1 weeks average run per theater","$9,186,323","January 4th, 2017 (Wide) (South Korea)
February 3rd, 2017 (Wide) (Russia (CIS))
February 10th, 2017 (Wide) (United Kingdom)
February 17th, 2017 (Wide), released as Tūkstančiai mylių iki Tavęs (Lithuania)
February 23rd, 2017 (Wide) (Netherlands)
... Show all releases
",121 minutes,"vs. Love, SimonCreate your own comparison chart…",Original Screenplay,Drama,Live Action,Science Fiction,United States,English,"February 3rd, 2017 (Wide) by STX Entertainment","May 2nd, 2017 by STX Entertainment","PG-13 for brief sensuality and language.(Rating bulletin 2425 (Cert #50466), 5/18/2016)","Near Future, Space Program, Set on Mars, Troubled Pregnancy or Miscarriage, Died During Childbirth, Young Child Dealing with the Death of a Parent, Coming of Age, Romance, Medical and Hospitals, Coming-of-Age Drama","STX Entertainment, Huayi Brothers Pictures Ltd, Los Angeles Media Fund, Southpaw Entertainment, Scarlet Films",,"$7,885,294","$8,596,111","$16,481,405","$1,207,380","$679,735","$1,887,115"
2,https://www.the-numbers.com/movie/Contratiempo-(Spain),[],[],,,,,,,"January 6th, 2017 (Wide) (Spain)
February 24th, 2017 (Wide) (Argentina)
September 15th, 2017 (Wide) (China)
September 20th, 2017 (Wide), released as The Invisible Guest (South Korea)
May 31st, 2018 (Wide), released as Невидимый гость (Russia (CIS))
... Show all releases
",106 minutes,Create your own comparison chart…,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,Spain,Spanish,,"July 1st, 2017 by Netflix, released as The Invisible Guest",,,,,n/a,"$30,694,802","$30,694,802",,,
3,https://www.the-numbers.com/movie/GG-Bond-Guarding-(China)-(2017),[],"[['Lu Jinming', 'Director']]",,,,,,,"January 6th, 2017 (Wide) (China)
",91 minutes,Create your own comparison chart…,Based on TV,Adventure,Digital Animation,Kids Fiction,China,,,,,,,GG Bond,n/a,"$6,821,075","$6,821,075",,,
4,https://www.the-numbers.com/movie/Zhu-Zhu-Xia-Zhi-Ying-Xiong-Zhu-Shao-Nian-(China)-(2017),[],"[['Lu Jinming', 'Director'], ['Zhong Yu', 'Director']]",,,,,,,"January 7th, 2017 (Wide) (China)
",91 minutes,Create your own comparison chart…,Original Screenplay,Adventure,Digital Animation,Kids Fiction,China,Mandarin,,,,,,,n/a,"$6,240,000","$6,240,000",,,
5,https://www.the-numbers.com/movie/Confidential-Assignment-(South-Korea),[],"[['Seong-hoon Kim', 'Director']]",,5.00 (domestic box office/biggest weekend),0.8% (domestic box office/worldwide),,,"$554,090","January 10th, 2017 (Wide) (South Korea)
February 10th, 2017 (Wide) (Australia)
February 10th, 2017 (Wide) (New Zealand)
",125 minutes,vs. Disney’s Newsies: The Broadway MusicalCreate your own comparison chart…,Original Screenplay,Action,Live Action,Contemporary Fiction,Republic of Korea,Korean,"February 3rd, 2017 (Limited) by CJ Entertainment",,Not Rated,"Set in North Korea, Set in South Korea, Buddy Cop, Organized Crime, Forgery, White Collar Crime, Crime Thriller, Corrupt Cops, Death of a Spouse or Fiancée / Fiancé",,,"$475,618","$55,975,045","$56,450,663",,,
6,https://www.the-numbers.com/movie/Sleepless-(2016),"['Michelle Monaghan', 'Dermot Mulroney', 'David Harbour', 'T.I.*', 'Gabrielle Union', 'Scoot McNairy', 'Jamie Foxx']","[['Baran bo Odar', 'Director'], ['Roy Lee', 'Producer'], ['Adam Stone', 'Producer'], ['Andrea Berloff', 'Screenwriter'], ['Frederic Jardin', 'Based on the film “Nuit Blanche” by'], ['Nicolas Saada', 'Based on the film “Nuit Blanche” by'], ['Olivier Douyere', 'Based on the film “Nuit Blanche” by'], ['John Powers Middleton', 'Executive Producer'], ['Alex Foster', 'Executive Producer'], ['Tom Ortenberg', 'Executive Producer'], ['Peter Lawson', 'Executive Producer'], ['Lauranne Bourrachot', 'Executive Producer'], ['Marco Cherqui', 'Executive Producer'], ['Jeremiah Samuels', 'Executive Producer'], ['Judd Payne', 'Executive Producer'], ['Nik Bower', 'Executive Producer'], ['Deepak Nayar', 'Executive Producer'], ['Mihai Malaimare Jr.', 'Director of Photography'], ['Tim Grimes', 'Production Designer'], ['Robert Rzesacz', 'Editor'], ['Catherine George', 'Costume Designer'], ['Michael Kamm', 'Composer'], ['Avy Kaufman', 'Casting Director']]","$8,344,128 (40.1% of total gross)",2.49 (domestic box office/biggest weekend),62.4% (domestic box office/worldwide),"$30,000,000 (worldwide box office is 1.1 times production budget)","1,803 opening theaters/1,803 max. theaters, 3.4 weeks average run per theater","$24,212,901","January 11th, 2017 (Wide) (Trinidad)
January 12th, 2017 (Wide) (Aruba)
January 12th, 2017 (Wide) (Curacao)
January 13th, 2017 (Wide), released as Nos Limites da Lei (Portugal)
January 18th, 2017 (Wide) (Jamaica)
... Show all releases
",95 minutes,vs. Monster TrucksCreate your own comparison chart…,Based on Movie,Thriller/Suspense,Live Action,Contemporary Fiction,United States,English,"January 13th, 2017 (Wide) by Open Road","April 18th, 2017 by Universal Home Entertainment","R for strong violence and language throughout.(Rating bulletin 2455 (Cert #50233), 12/14/2016)","Police life, Kidnap, Rescue, Organized Crime, Corrupt Cops, Remake, Foreign-Language Remake, Set in Las Vegas, Internal Affairs, Action Thriller","Open Road Films, Riverstone Pictures, Vertigo Entertainment",,"$20,783,704","$12,512,955","$33,296,659","$2,376,535","$2,068,729","$4,445,264"
7,https://www.the-numbers.com/movie/King-The-(S-korea),[],[],,,,,,,"January 12th, 2017 (Wide) (South Korea)
February 3rd, 2017 (Wide) (Australia)
February 3rd, 2017 (Limited) (New Zealand)
",134 minutes,Create your own comparison chart…,Original Screenplay,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,,,,,,,n/a,"$40,045,465","$40,045,465",,,
8,https://www.the-numbers.com/movie/Backkom-Bear-Agent-008-(China),[],[],,,,,,,"January 13th, 2017 (Wide), released as Backkom Bear：Agent 008 (China)
",86 minutes,Create your own comparison chart…,Original Screenplay,Adventure,Digital Animation,Kids Fiction,China,Mandarin,,,,,,,n/a,"$17,880,000","$17,880,000",,,
9,https://www.the-numbers.com/movie/Big-Baker-s-Unlucky-Bear-(China)-(2017),[],[],,,,,,,"January 13th, 2017 (Wide) (China)
",,Create your own comparison chart…,,,,,China,,,,,,,,n/a,"$18,330,044","$18,330,044",,,
